category,description,jobArea,companyAddress,salary,companyLink,name,jobLink,experience,company,school
Python,"•領導轄下軟體部門，配合公司營運政策與目標，整合規劃建置與維護完善IT系統
•協助各單位，進行跨部門及資訊系統需求評估、問題處理
•HTML、JavaScript、CSS 設計網頁
•開發網站，編寫網頁切版並編寫提供更好的使用者體驗
•研究新型態的互動技術
•RWD (Responsive-Web-Design) 網站開發及各式版型模組化
•協助進行平台界接及整合，編寫有關程序開發和後續的修訂，以便其他人可以理解該程序
•維護網站應用程式，確保它們會產生正確無誤的信息
•跨國團隊合作，提供專業的技術建議",台北市松山區敦化北路,台北市松山區敦化北路,"月薪 73,000~102,000元",https://www.1111.com.tw/corp/73206986/,Team Leader - 軟體工程師,http:https://www.1111.com.tw/job/91679562/,8年工作經驗以上,英屬維京群島商易貿創投有限公司台灣分公司(英屬維京群島商易貿創投有限公司(台灣分公司)),大學以上
Python,"【工作內容】
1. 針對實務製造問題發展工業4.0解決方案，設計運用深度學習、人工智慧、機器學習、模擬與最佳化等模型於 Garmin 智慧製造應用的產品開發、落地規劃以及問題追蹤，內外部門溝通以提升整體生產效益與使用者滿意度，關注的產品應用領域包括：
1) 產品良率優化 – 如產品瑕疵檢測，應用深度學習架構與可解釋AI於自動瑕疵檢測，取代傳統人工搜尋方式。
2) 設備利用率提升 – 如設備異常分析，應用時間序列資料建立設備異常預測模型並推估的最佳保養時間。
3) 生產效率提升 – 使用最佳化模型對生產排程進行優化與求解運輸派送問題。
4) 能源效率優化 – 如工廠節能最佳化，透過環境感測器取得資料並分析，智能化調整參數減少能源浪費。
2. 資料視覺化設計

【必要條件】
1. 能同理並重視使用者經驗與回饋，蒐集有效資訊並設計實驗，將產品的成長優化視為最高準則。
2. 對資料分析及視覺化充滿熱情並具備程式開發之熱忱與積極性，善於溝通協調與跨團隊合作並能獨立解決問題。
3. 熟悉專案管理方法（SCRUM），能規劃並管理開發單位的時程與資源分配，確保產品開發週期時效與產品疊代時程。
4. 撰寫產品文件、使用者操作手冊與功能說明簡報等相關文件，確保產品資訊準確一致。
5. 熟悉Python, R或JavaScript 等程式語言，並具備使用其語言開發實際分析經驗。
6. 具備深度學習、機器學習、統計分析、資料探勘（machine learning, deep learning, statistical modeling, data mining）之研究背景或實務經驗，對原理有基本的理解，能確實了解各演算法在應用上的優劣。
7. 具備MS SQL, PL/SQL, Mongo, Hive等資料庫串接經驗，及熟悉資料視覺化實作（如Tableau, Plotly）。
8. 了解設計思考方法與熟悉 UI/UX設計方法、流程、工具。",新北市汐止區樟樹二路,新北市汐止區樟樹二路,面議（經常性薪資4萬/月含以上）,https://www.1111.com.tw/corp/1915151/,Garmin Asia_資料視覺化與AI產品經理（Data Visualization & AI Product Manager）_汐止/林口,http:https://www.1111.com.tw/job/92215298/,2年工作經驗以上,GARMIN 台灣國際航電股份有限公司,"大學,碩士"
http:https://www.1111.com.tw/job/86008533/,台北市中山區長安東路,台北市中山區長安東路,"月薪 35,000~60,000元",Python工程師,Python,大學以上,2年工作經驗以上,https://www.1111.com.tw/corp/72333917/,"1.參與專案開發，收集資料/進度報告/技術支援 

2.開發/撰寫演算法 

3.重視程式執行效率及效能 

4.視覺化資料處理及大量資料運算 

5.網站爬蟲資料處理",文境資科股份有限公司
http:https://www.1111.com.tw/job/92166500/,台北市大安區和平東路,台北市大安區和平東路,"月薪 31,000元以上",國網中心_前瞻三期「強化公部門網路服務與運算雲端基礎設施」網路效能管理工程師1名(020),Python,大學以上,經驗不拘,https://www.1111.com.tw/corp/69431197/,"1. 網路效能量測系統開發與應用整合
2. 網路效能量測主機系統維運管理
3. 進行網路效能測試、分析、調校與量測
4. 其他主管交辦事項",財團法人國家實驗研究院
